# Logfile created on 2026-09-17 08:44:12 +0200 by logger.rb/v1.4.3
2026-09-17 08:44:13 +0200: Memory Usage (448000K) : topmetal2_nofill has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448000K) : topmetal2_slit has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448000K) : topmetal2_text has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448264K) : topmetal2_noqrc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448264K) : topmetal2_res has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448264K) : topmetal2_iprobe has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448264K) : topmetal2_diffprb has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448264K) : snsring_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448528K) : sensor_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448528K) : snsarms_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448528K) : snscmosvia_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448528K) : colwind_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448528K) : flm_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448792K) : hafniumox_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448792K) : memvia_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448792K) : thinfilmres_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448792K) : rfmem_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (448792K) : norcx_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m2m3 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m2m4 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m2m5 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m2tm1 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m2tm2 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m3m4 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m3m5 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m3tm1 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m3tm2 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m4m5 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m4tm1 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m4tm2 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m5tm1 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m5tm2 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_tm1tm2 has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m1sub has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m2sub has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m3sub has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m4sub has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_m5sub has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_tm1sub has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : norcx_tm2sub has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : snsbotvia_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : snstopvia_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (449056K) : deepvia_drw has 0 polygons
